type,category,name,energy_kcal,proteins,available_carbohydrates,lipids,total_fiber
ALIMENTO,CARBOIDRATO,"Farro perlato, crudo",353.0,14.6,69.3,2.4,6.5
ALIMENTO,CARBOIDRATO,"Farro perlato, cotto, bollito",178.0,6.2,37.3,1.0,2.1
ALIMENTO,CARBOIDRATO,Frumento duro,332.0,13.0,62.5,2.9,9.8
ALIMENTO,CARBOIDRATO,Frumento tenero,336.0,12.3,65.2,2.6,9.7
ALIMENTO,CARBOIDRATO,"Couscous, crudo",361.0,13.7,76.5,1.1,4.5
ALIMENTO,CARBOIDRATO,"Couscous, cotto",179.0,3.6,39.7,1.1,2.7
ALIMENTO,CARBOIDRATO,Grano saraceno,329.0,12.4,61.2,3.3,10.0
ALIMENTO,CARBOIDRATO,Mais,357.0,9.2,75.1,3.8,2.0
ALIMENTO,CARBOIDRATO,"Mais, dolce, in scatola, sgocciolato",105.0,3.4,20.5,1.3,1.4
ALIMENTO,CARBOIDRATO,"Polenta, cruda",323.0,8.0,72.7,0.7,6.2
ALIMENTO,CARBOIDRATO,"Polenta, cotta",73.0,0.9,17.8,0.04,0.9
ALIMENTO,CARBOIDRATO,Miglio,343.0,11.8,64.9,3.9,8.5
ALIMENTO,CARBOIDRATO,"Miglio, decorticato",342.0,11.0,67.8,4.2,3.1
ALIMENTO,CARBOIDRATO,Orzo perlato,346.0,9.4,73.7,1.5,9.2
ALIMENTO,CARBOIDRATO,"Orzo perlato, cotto, bollito",118.0,2.6,26.4,0.6,1.8
ALIMENTO,CARBOIDRATO,"Quinoa, cruda",376.0,15.4,57.8,8.1,12.2
ALIMENTO,CARBOIDRATO,"Quinoa, cotta, bollita",140.0,4.8,24.3,2.5,3.6
ALIMENTO,CARBOIDRATO,"Riso, brillato",334.0,6.7,80.4,0.4,1.0
ALIMENTO,CARBOIDRATO,"Riso, brillato, cotto, bollito",100.0,2.0,24.2,0.1,0.2
ALIMENTO,CARBOIDRATO,"Riso, integrale",341.0,7.5,77.4,1.9,1.9
ALIMENTO,CARBOIDRATO,"Riso, integrale, cotto, bollito",113.0,2.5,25.5,0.6,0.8
ALIMENTO,CARBOIDRATO,"Riso, parboiled",338.0,7.4,81.3,0.3,0.5
ALIMENTO,CARBOIDRATO,"Riso, parboiled, cotto, bollito",97.0,2.1,23.3,0.1,0.3
ALIMENTO,CARBOIDRATO,"Riso Basmati, crudo",367.0,9.0,82.9,1.9,1.3
ALIMENTO,CARBOIDRATO,"Riso Basmati, cotto, bollito",113.0,3.0,25.2,0.6,0.7
ALIMENTO,CARBOIDRATO,"Riso Venere, crudo",355.0,7.8,80.4,1.3,5.1
ALIMENTO,CARBOIDRATO,"Riso Venere, cotto, bollito",160.0,3.5,36.9,0.3,2.4
ALIMENTO,CARBOIDRATO,Crusca di frumento,290.0,14.1,26.6,5.5,42.4
ALIMENTO,CARBOIDRATO,Farina d'avena,378.0,12.6,66.3,7.1,7.6
ALIMENTO,CARBOIDRATO,Farina d'orzo,333.0,10.6,68.4,1.9,8.5
ALIMENTO,CARBOIDRATO,"Farina di frumento, tipo 00",323.0,11.0,71.6,0.7,2.2
ALIMENTO,CARBOIDRATO,"Farina di frumento, tipo 0",321.0,11.5,69.5,1.0,2.9
ALIMENTO,CARBOIDRATO,"Farina di frumento, integrale",313.0,11.9,61.8,1.9,8.4
ALIMENTO,CARBOIDRATO,"Farina di frumento, duro",330.0,12.9,63.2,2.8,8.0
ALIMENTO,CARBOIDRATO,Farina di mais,341.0,8.7,73.5,2.7,3.1
ALIMENTO,CARBOIDRATO,Farina di riso,332.0,7.3,79.1,0.5,1.0
ALIMENTO,CARBOIDRATO,Farina di segale,342.0,11.7,67.8,2.0,11.3
ALIMENTO,LEGUME,Farina di soia,469.0,36.8,23.4,23.5,11.2
ALIMENTO,CARBOIDRATO,Semola,346.0,11.5,76.9,0.5,3.6
ALIMENTO,CARBOIDRATO,Farina di manioca,332.0,0.6,87.2,0.2,0.4
ALIMENTO,CARBOIDRATO,Germe di frumento,378.0,26.0,43.5,10.0,10.5
ALIMENTO,CARBOIDRATO,Pane al malto,278.0,8.3,56.6,2.4,5.5
ALIMENTO,CARBOIDRATO,Pane di segale,228.0,8.3,45.4,1.7,4.6
ALIMENTO,CARBOIDRATO,Pane bianco,268.0,8.1,59.5,0.5,3.8
ALIMENTO,CARBOIDRATO,Pane di tipo semintegrale,239.0,8.3,52.0,0.3,4.2
ALIMENTO,CARBOIDRATO,Pane di tipo integrale,224.0,8.5,44.1,1.3,6.5
ALIMENTO,CARBOIDRATO,Pane formato rosetta,275.0,9.0,57.6,1.9,3.1
ALIMENTO,CARBOIDRATO,Pangrattato,357.0,10.1,77.8,2.1,3.2
ALIMENTO,CARBOIDRATO,Panini al latte,298.0,9.0,48.1,8.7,1.9
ALIMENTO,CARBOIDRATO,Panini all'olio,288.0,7.7,52.6,5.8,3.7
ALIMENTO,CARBOIDRATO,Pane azzimo,365.0,10.7,81.7,1.0,3.5
ALIMENTO,CARBOIDRATO,Pizza bianca,306.0,7.9,57.9,5.9,2.3
ALIMENTO,CARBOIDRATO,Pizza con pomodoro,248.0,7.6,40.7,6.6,2.7
ALIMENTO,CARBOIDRATO,Pizza con pomodoro e mozzarella,255.0,12.1,35.5,7.6,2.5
ALIMENTO,CARBOIDRATO,Pasta di semola,341.0,13.5,72.7,1.2,1.7
ALIMENTO,CARBOIDRATO,"Pasta di semola, cotta, bollita",175.0,6.9,37.3,0.6,0.9
ALIMENTO,CARBOIDRATO,"Pasta di semola, integrale",330.0,13.3,64.8,2.2,7.1
ALIMENTO,CARBOIDRATO,"Pasta di semola, integrale, cotta, bollita",182.0,7.4,36.0,1.2,3.5
ALIMENTO,CARBOIDRATO,"Pasta all'uovo, secca",346.0,13.0,71.0,2.4,3.2
ALIMENTO,CARBOIDRATO,"Pasta all'uovo, secca, cotta, bollita",123.0,4.6,25.5,0.8,1.1
ALIMENTO,CARBOIDRATO,"Ravioli, crudi, freschi",265.0,10.6,40.7,7.3,2.2
ALIMENTO,CARBOIDRATO,"Ravioli, cotti",177.0,7.2,27.5,4.6,1.6
ALIMENTO,CARBOIDRATO,"Tortellini, freschi",302.0,12.2,49.9,7.1,1.2
ALIMENTO,CARBOIDRATO,"Tortellini, freschi, cotti",158.0,6.4,26.0,3.7,0.6
ALIMENTO,CARBOIDRATO,"Tortellini, secchi",379.0,15.7,57.6,10.8,1.6
ALIMENTO,CARBOIDRATO,"Biscotti, frollini",426.0,7.2,71.7,13.8,1.9
ALIMENTO,CARBOIDRATO,"Biscotti, integrali",419.0,7.8,70.8,12.3,6.0
ALIMENTO,CARBOIDRATO,"Biscotti, secchi",404.0,6.6,80.4,7.9,2.6
ALIMENTO,CARBOIDRATO,"Biscotti, alla soia",375.0,11.5,70.8,6.1,4.5
ALIMENTO,CARBOIDRATO,"Biscotti, integrali, con soia",464.0,11.5,60.4,20.4,3.8
ALIMENTO,CARBOIDRATO,"Biscotti, wafers",452.0,7.1,76.2,15.0,1.6
ALIMENTO,CARBOIDRATO,"Crackers, al formaggio",498.0,10.1,59.2,25.5,2.8
ALIMENTO,CARBOIDRATO,"Crackers, alla soia",421.0,13.1,67.7,11.7,4.9
ALIMENTO,CARBOIDRATO,"Crackers, salati",386.0,9.4,67.5,10.0,2.8
ALIMENTO,CARBOIDRATO,"Crackers, integrali",402.0,12.0,61.7,11.4,10.0
ALIMENTO,CARBOIDRATO,Fette biscottate,387.0,11.3,75.0,6.0,3.5
ALIMENTO,CARBOIDRATO,"Fette biscottate, integrali",394.0,14.2,63.0,10.0,5.4
ALIMENTO,CARBOIDRATO,Grissini,421.0,11.3,65.1,13.9,3.5
ALIMENTO,CARBOIDRATO,Cornetti,403.0,7.2,54.7,18.3,2.1
ALIMENTO,CARBOIDRATO,Croissants,362.0,8.3,38.0,20.3,1.6
ALIMENTO,CARBOIDRATO,Bastoncini di crusca di frumento,301.0,14.0,38.4,3.2,35.9
ALIMENTO,CARBOIDRATO,Corn flakes,367.0,6.6,87.4,0.8,2.8
ALIMENTO,CARBOIDRATO,Fiocchi d'avena,367.0,8.0,66.8,7.5,8.3
ALIMENTO,CARBOIDRATO,Muesli,374.0,9.7,71.7,6.0,6.4
ALIMENTO,CARBOIDRATO,"Riso, soffiato, da prima colazione",354.0,6.0,85.1,1.0,1.0
ALIMENTO,LEGUME,"Ceci, secchi",343.0,20.9,46.9,6.3,13.6
ALIMENTO,LEGUME,"Ceci, secchi, cotti, bolliti",132.0,7.0,18.9,2.4,5.8
ALIMENTO,LEGUME,"Ceci, in scatola, scolati",111.0,6.7,13.9,2.3,5.7
ALIMENTO,LEGUME,Fagioli,326.0,23.6,47.5,2.0,17.5
ALIMENTO,LEGUME,"Fagioli, cotti, bolliti",117.0,7.9,17.0,0.7,7.8
